time,degree,prediction,error
2023-07-22T10:57:02,358,15,17
2023-07-22T10:57:03,357,15,18
2023-07-22T10:57:04,354,10,16
2023-07-22T10:57:05,330,355,25
2023-07-22T10:57:06,340,355,15
2023-07-22T10:57:07,358,0,2
2023-07-22T10:57:08,2,5,3
2023-07-22T10:57:09,5,15,10
2023-07-22T10:57:10,55,50,5
2023-07-22T10:57:11,55,55,0
2023-07-22T10:57:12,65,65,0
2023-07-22T10:57:13,55,50,5
2023-07-22T10:57:14,42,40,2
2023-07-22T10:57:15,22,40,18
2023-07-22T10:57:16,6,25,19
2023-07-22T10:57:17,354,15,21
2023-07-22T10:57:18,340,0,20
2023-07-22T10:57:19,310,325,15
2023-07-22T10:57:20,313,325,12
2023-07-22T10:57:21,357,345,12
2023-07-22T10:57:22,358,0,2
2023-07-22T10:57:23,0,5,5
2023-07-22T10:57:24,350,350,0
2023-07-22T10:57:25,330,340,10
2023-07-22T10:57:26,345,345,0
2023-07-22T10:57:27,355,355,0
2023-07-22T10:57:28,0,355,5
2023-07-22T10:57:29,40,15,25
2023-07-22T10:57:30,47,35,12
2023-07-22T10:57:31,50,35,15
2023-07-22T10:57:32,36,40,4
2023-07-22T10:57:33,30,30,0
2023-07-22T10:57:34,20,25,5
2023-07-22T10:57:35,8,15,7
2023-07-22T10:57:36,356,15,19
2023-07-22T10:57:37,335,355,20
2023-07-22T10:57:38,320,340,20
2023-07-22T10:57:39,337,335,2
2023-07-22T10:57:40,340,340,0
2023-07-22T10:57:41,357,340,17
2023-07-22T10:57:42,0,340,20
2023-07-22T10:57:43,0,355,5
2023-07-22T10:57:44,0,0,0
2023-07-22T10:57:45,0,5,5
2023-07-22T10:57:46,0,5,5
2023-07-22T10:57:47,0,0,0
2023-07-22T10:57:48,0,5,5
2023-07-22T10:57:49,3,0,3
2023-07-22T10:57:50,358,5,7
2023-07-22T10:57:51,355,0,5
2023-07-22T10:57:52,350,350,0
