time,degree,prediction,error
2023-07-22T11:07:45,355,15,20
2023-07-22T11:07:46,345,15,30
2023-07-22T11:07:47,340,355,15
2023-07-22T11:07:48,340,350,10
2023-07-22T11:07:49,355,355,0
2023-07-22T11:07:50,0,0,0
2023-07-22T11:07:51,15,10,5
2023-07-22T11:07:52,40,15,25
2023-07-22T11:07:53,40,40,0
2023-07-22T11:07:54,40,50,10
2023-07-22T11:07:55,10,45,35
2023-07-22T11:07:56,0,35,35
2023-07-22T11:07:57,3,5,2
2023-07-22T11:07:58,20,15,5
2023-07-22T11:07:59,45,25,20
2023-07-22T11:08:00,20,25,5
2023-07-22T11:08:01,0,20,20
2023-07-22T11:08:02,355,5,10
2023-07-22T11:08:03,345,0,15
2023-07-22T11:08:04,330,350,20
2023-07-22T11:08:05,330,345,15
2023-07-22T11:08:06,335,340,5
2023-07-22T11:08:07,340,340,0
2023-07-22T11:08:08,0,345,15
2023-07-22T11:08:09,355,0,5
2023-07-22T11:08:10,330,355,25
2023-07-22T11:08:11,335,340,5
2023-07-22T11:08:12,335,350,15
2023-07-22T11:08:13,350,340,10
2023-07-22T11:08:14,355,355,0
2023-07-22T11:08:15,0,0,0
2023-07-22T11:08:16,10,5,5
2023-07-22T11:08:17,25,15,10
2023-07-22T11:08:18,40,20,20
2023-07-22T11:08:19,45,20,25
2023-07-22T11:08:20,40,25,15
2023-07-22T11:08:21,30,10,20
2023-07-22T11:08:22,10,15,5
2023-07-22T11:08:23,15,20,5
2023-07-22T11:08:24,5,20,15
2023-07-22T11:08:25,0,10,10
2023-07-22T11:08:26,355,0,5
2023-07-22T11:08:27,345,355,10
2023-07-22T11:08:28,325,350,25
2023-07-22T11:08:29,325,345,20
2023-07-22T11:08:30,320,350,30
2023-07-22T11:08:31,325,335,10
2023-07-22T11:08:32,355,340,15
2023-07-22T11:08:33,0,355,5
2023-07-22T11:08:34,0,5,5
2023-07-22T11:08:35,0,0,0
2023-07-22T11:08:36,0,0,0
