time,degree,prediction,error
2023-07-22T10:58:35,359,0,0
2023-07-22T10:58:36,357,0,0
2023-07-22T10:58:37,357,20,23
2023-07-22T10:58:38,350,5,15
2023-07-22T10:58:39,340,0,20
2023-07-22T10:58:40,343,355,12
2023-07-22T10:58:41,355,355,0
2023-07-22T10:58:42,0,0,0
2023-07-22T10:58:43,0,0,0
2023-07-22T10:58:44,30,20,10
2023-07-22T10:58:45,40,25,15
2023-07-22T10:58:46,53,55,2
2023-07-22T10:58:47,47,55,8
2023-07-22T10:58:48,40,45,5
2023-07-22T10:58:49,40,50,10
2023-07-22T10:58:50,25,35,10
2023-07-22T10:58:51,20,35,15
2023-07-22T10:58:52,15,30,15
2023-07-22T10:58:53,10,20,10
2023-07-22T10:58:54,350,10,20
2023-07-22T10:58:55,335,345,10
2023-07-22T10:58:56,325,340,15
2023-07-22T10:58:57,328,340,12
2023-07-22T10:58:58,330,330,0
2023-07-22T10:58:59,353,350,3
2023-07-22T10:59:00,357,355,2
2023-07-22T10:59:01,0,5,5
2023-07-22T10:59:02,350,355,5
2023-07-22T10:59:03,330,340,10
2023-07-22T10:59:04,330,345,15
2023-07-22T10:59:05,350,345,5
2023-07-22T10:59:06,358,355,3
2023-07-22T10:59:07,3,0,3
2023-07-22T10:59:08,4,5,1
2023-07-22T10:59:09,15,10,5
2023-07-22T10:59:10,25,20,5
2023-07-22T10:59:11,37,30,7
2023-07-22T10:59:12,45,50,5
2023-07-22T10:59:13,37,45,8
2023-07-22T10:59:14,28,30,2
2023-07-22T10:59:15,25,20,5
2023-07-22T10:59:16,25,20,5
2023-07-22T10:59:17,15,10,5
2023-07-22T10:59:18,5,5,0
2023-07-22T10:59:19,340,350,10
2023-07-22T10:59:20,330,335,5
2023-07-22T10:59:21,325,335,10
2023-07-22T10:59:22,343,345,2
2023-07-22T10:59:23,0,355,5
2023-07-22T10:59:24,358,0,2
2023-07-22T10:59:25,0,0,0
2023-07-22T10:59:26,0,0,0
