time,degree,prediction,error
2023-07-22T11:01:38,357,15,18
2023-07-22T11:01:39,353,15,22
2023-07-22T11:01:40,340,355,15
2023-07-22T11:01:41,350,355,5
2023-07-22T11:01:42,350,0,10
2023-07-22T11:01:43,356,0,4
2023-07-22T11:01:44,359,0,1
2023-07-22T11:01:45,0,5,5
2023-07-22T11:01:46,0,5,5
2023-07-22T11:01:47,10,10,0
2023-07-22T11:01:48,25,25,0
2023-07-22T11:01:49,30,25,5
2023-07-22T11:01:50,25,25,0
2023-07-22T11:01:51,37,30,7
2023-07-22T11:01:52,31,30,1
2023-07-22T11:01:53,35,35,0
2023-07-22T11:01:54,13,25,12
2023-07-22T11:01:55,0,15,15
2023-07-22T11:01:56,0,10,10
2023-07-22T11:01:57,20,20,0
2023-07-22T11:01:58,8,15,7
2023-07-22T11:01:59,10,10,0
2023-07-22T11:02:00,6,10,4
2023-07-22T11:02:01,0,10,10
2023-07-22T11:02:02,355,10,15
2023-07-22T11:02:03,358,5,7
2023-07-22T11:02:04,350,0,10
2023-07-22T11:02:05,340,350,10
2023-07-22T11:02:06,335,350,15
2023-07-22T11:02:07,340,345,5
2023-07-22T11:02:08,350,350,0
2023-07-22T11:02:09,356,355,1
2023-07-22T11:02:10,357,355,2
2023-07-22T11:02:11,358,355,3
2023-07-22T11:02:12,3,5,2
2023-07-22T11:02:13,4,5,1
2023-07-22T11:02:14,0,5,5
2023-07-22T11:02:15,0,0,0
2023-07-22T11:02:16,0,0,0
